Failure Source,Key,Severity,Time Stamp Created,Notes,Last Updated At,Acknowledgment Status,Condition,Description
172.23.193.191,447006176,CRITICAL,2017-10-17T06:16:22.789-07:00,No Notes,2017-10-17T06:58:31.736-07:00,False,LINK_DOWN,Port 'port-channel401' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down
172.23.193.191,447006177,CRITICAL,2017-10-17T06:16:34.106-07:00,No Notes,2017-10-17T07:00:47.206-07:00,False,LINK_DOWN,Port 'port-channel402' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down
172.23.193.191,447006181,CRITICAL,2017-10-17T07:15:23.550-07:00,No Notes,2017-10-17T12:26:20.045-07:00,False,LINK_DOWN,Port 'port-channel124' (Description: 'FEX Uplink (CORE)') is down on device '172.23.193.191'.:operationally down
172.23.193.191,708281596,CRITICAL,2017-11-20T10:40:27.354-08:00,No Notes,2017-11-20T10:40:27.354-08:00,False,LINK_DOWN,Port 'Ethernet2/12' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down
172.23.193.191,708281591,CRITICAL,2017-11-20T10:39:47.601-08:00,No Notes,2017-11-20T10:39:47.601-08:00,False,LINK_DOWN,Port 'Ethernet2/11' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down
172.23.193.191,447005770,MINOR,2017-10-11T19:32:06.704-07:00,No Notes,2017-11-14T23:51:23.777-08:00,False,SWT_AUTH_FAIL,Device '172.23.193.191'. Authentication failed for request from 'Unknown'.
172.23.193.191,428525948,MINOR,2017-10-09T08:12:47.106-07:00,No Notes,2017-11-08T13:58:13.341-08:00,False,SWT_STP_TOPOLOGY_CHANGE,"Device '172.23.193.191'. A port transitions from Learning state to Forwarding state, or from Forwarding state to Blocking state."
172.23.193.191,708281595,CRITICAL,2017-11-20T10:40:27.153-08:00,No Notes,2017-11-20T10:40:27.153-08:00,False,LINK_DOWN,Port 'port-channel1' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down
172.23.193.191,447006207,MAJOR,2017-10-17T12:55:04.415-07:00,No Notes,2017-11-20T10:40:26.950-08:00,False,SWT_STP_NEW_ROOT,Device '172.23.193.191'. Sending agent has become the new root of the Spanning Tree
172.23.193.192,708281599,CRITICAL,2017-11-20T10:40:30.264-08:00,No Notes,2017-11-20T10:40:30.264-08:00,False,LINK_DOWN,Port 'Ethernet2/12' (Description: 'Not available') is down on device '172.23.193.192'.:operationally down
172.23.193.192,708281598,CRITICAL,2017-11-20T10:40:30.063-08:00,No Notes,2017-11-20T10:40:30.063-08:00,False,LINK_DOWN,Port 'port-channel1' (Description: 'Not available') is down on device '172.23.193.192'.:operationally down
