Failure Source,Key,Acknowledgment Status,Time Stamp Created,Last Updated At,Description,Severity,Notes
172.23.193.191,447006176,False,2017-10-17T06:16:22.789-07:00,2017-10-17T06:58:31.736-07:00,172.23.193.191,Port 'port-channel401' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down,CRITICAL
172.23.193.191,447006177,False,2017-10-17T06:16:34.106-07:00,2017-10-17T07:00:47.206-07:00,172.23.193.191,Port 'port-channel402' (Description: 'Not available') is down on device '172.23.193.191'.:operationally down,CRITICAL
172.23.193.191,447006181,False,2017-10-17T07:15:23.550-07:00,2017-10-17T12:26:20.045-07:00,172.23.193.191,Port 'port-channel124' (Description: 'FEX Uplink (CORE)') is down on device '172.23.193.191'.:operationally down,CRITICAL
172.23.193.191,447005770,False,2017-10-11T19:32:06.704-07:00,2017-11-01T06:39:20.252-07:00,172.23.193.191,Device '172.23.193.191'. Authentication failed for request from 'Unknown'.,MINOR
172.23.193.191,428525948,False,2017-10-09T08:12:47.106-07:00,2017-11-04T06:14:34.742-07:00,172.23.193.191,"Device '172.23.193.191'. A port transitions from Learning state to Forwarding state, or from Forwarding state to Blocking state.",MINOR
172.23.193.191,447006207,False,2017-10-17T12:55:04.415-07:00,2017-10-19T07:50:20.743-07:00,172.23.193.191,Device '172.23.193.191'. Sending agent has become the new root of the Spanning Tree,MAJOR
172.23.193.192,447005769,False,2017-10-11T19:32:06.704-07:00,2017-10-26T18:47:07.371-07:00,172.23.193.192,Device '172.23.193.192'. Authentication failed for request from 'Unknown'.,MINOR
172.23.193.192,447006169,False,2017-10-16T13:53:55.816-07:00,2017-10-19T13:58:45.603-07:00,172.23.193.192,Port 'port-channel124' (Description: 'FEX Uplink (CORE)') is down on device '172.23.193.192'.:administratively down,CRITICAL
172.23.193.192,447006409,False,2017-10-19T08:29:11.210-07:00,2017-10-19T08:29:12.018-07:00,172.23.193.192,Port 'port-channel2' (Description: 'Not available') is down on device '172.23.193.192'.:operationally down,CRITICAL
172.23.193.192,447006186,False,2017-10-17T07:35:14.784-07:00,2017-10-18T16:08:23.305-07:00,172.23.193.192,"Device '172.23.193.192'. A port transitions from Learning state to Forwarding state, or from Forwarding state to Blocking state.",MINOR
172.23.193.143,511079723,False,2017-10-24T03:01:25.157-07:00,2017-10-24T03:01:25.157-07:00,172.23.193.143,Device: sjc-ncs4206-b.cisco.com MPLS Tunnel with id: 0 is Administratively DOWN ,CRITICAL
172.23.193.143,447005767,False,2017-10-11T19:32:06.059-07:00,2017-10-26T18:47:06.494-07:00,172.23.193.143,Device '172.23.193.143'. Authentication failed for request from '172.18.108.10'.,MINOR
172.23.193.142,447005766,False,2017-10-11T19:32:06.039-07:00,2017-10-26T18:47:06.473-07:00,172.23.193.142,Device '172.23.193.142'. Authentication failed for request from '172.18.108.10'.,MINOR
172.23.193.142,625226902,False,2017-10-31T10:50:53.058-07:00,2017-10-31T10:50:53.058-07:00,172.23.193.142,ceAlarmAsserted on Device: sjc-ncs4206-a.cisco.com generated by entity 393 ,MAJOR
